description,2010_Totals,2011_Totals,2012_Totals,2013_Totals,2014_Totals,2015_Totals,2016_Totals,2017_Totals,2018_Totals,2019_Totals,2020_Totals
United States : all fuels (utility-scale),4125059,4100141,4047765,4065965,4093563,4078714,4077573,4035443,4180987,4130575,4009766
United States : coal,1847289,1733431,1514043,1581116,1581710,1352400,1239149,1205835,1149487,964958,773393
United States : petroleum liquids,23337,16086,13400,13820,18275,17373,13008,12413,16244,11523,9662
United States : petroleum coke,13725,14096,9787,13344,11955,10877,11198,8975,8982,6819,7679
United States : natural gas,987696,1013689,1225895,1124834,1126635,1334669,1379271,1297701,1471843,1588532,1626790
United States : other gases,11313,11566,11897,12854,12021,13117,12806,12468,13462,12592,11818
United States : nuclear,806966,790205,769331,789016,797167,797177,805692,804950,807084,809412,789878
United States : conventional hydroelectric,260204,319355,276240,268565,259366,249079,267813,300332,292524,287875,285274
United States : other renewables,0,0,0,0,0,0,0,0,0,0,0
United States : wind,94653,120178,140821,167841,181656,190718,226991,254305,272668,295882,337937
United States : all utility-scale solar,1211,1818,4326,9037,17691,24894,36054,53287,63826,71937,89198
United States : all utility-scale solar,1211,1818,4326,9037,17691,24894,36054,53287,63826,71937,89198
United States : geothermal,15221,15317,15561,15773,15877,15918,15825,15928,15968,15473,15890
United States : biomass,56090,56673,57622,60856,63991,63633,62760,62734,61831,57505,54711
United States : wood and wood-derived fuels,37172,37449,37798,40027,42339,41927,40946,41124,40937,38544,36218
United States : other biomass,18918,19222,19823,20830,21650,21702,21811,21612,20897,18964,18493
United States : hydro-electric pumped storage,-5502,-6422,-4951,-4682,-6174,-5090,-6687,-6494,-5903,-5260,-5323
United States : other,12854,14155,13787,13589,13392,13955,13688,13008,12972,13332,12856
United States : all solar,0,0,0,0,28925,39034,54866,77278,93363,106895,130720
United States : small-scale solar photovoltaic,0,0,0,0,11233,14141,18813,23990,29538,34958,41524
United States : all utility-scale solar,1211,1818,4326,9037,17691,24894,36054,53287,63826,71937,89198
United States : all utility-scale solar,1211,1818,4326,9037,17691,24894,36054,53287,63826,71937,89198
